obj-2555153 | Augustus | Münze | Münzkabinett | ca. 10-14 n. Chr.
obj-2685444 | Allegorie aus einer Folge der Erdteile "Afrika" | – | Kunstgewerbemuseum | Ende 16. Jahrhundert
obj-761879 | Tafelbild aus gebranntem Ton mit der Büste des Helios-Suchos | Schrein/Naos (Architektur) | Ägyptisches Museum und Papyrussammlung | 2.–3. Jh. n. Chr.
obj-2363610 | Augustus | Münze | Münzkabinett | ca. 20-10 v. Chr.
obj-2358922 | Röm. Republik: C. Iulius Caesar (Octavianus) | Münze | Münzkabinett | 28 v. Chr.
obj-2358921 | Röm. Republik: C. Iulius Caesar (Octavianus) | Münze | Münzkabinett | 28 v. Chr.
obj-2355382 | Augustus | Münze | Münzkabinett | ca. 9/8-3 v. Chr.
obj-2360048 | Alexandria: Severus Alexander | Münze | Münzkabinett | 230-231 n. Chr.
obj-93719 | Doppelschwanz - Echse | Goldanhänger | Ethnologisches Museum | 400 - 900
obj-2555152 | Augustus | Münze | Münzkabinett | ca. 10-14 n. Chr.
obj-2355381 | Augustus | Münze | Münzkabinett | ca. 9/8-3 v. Chr.
obj-2337858 | Zeichnungen für Amulette | Blatt (Schriftträger) | Ägyptisches Museum und Papyrussammlung | 1.–2. Jh. n. Chr.
obj-598797 | Statuette der Göttin Thoeris | Statuette (Rundbild) | Ägyptisches Museum und Papyrussammlung | Spätzeit / Datierung engl.: Late Period
obj-1106336 | zwei Männer | Tonfigur | Ethnologisches Museum | –
obj-2363670 | Augustus | Münze | Münzkabinett | ca. 10-14 n. Chr.
obj-823509 | Hieratischer Papyrus mit dem Totenbuch für die Sängerin des Amun Re Ta-remetsch-en-Bastet | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | Frühe Ptolemäerzeit (Ptolemäerzeit -> Griechisch–Römische Zeit -> Ägypten)
obj-1499131 | None | Handpuppen (13) und einige Requisiten für ein Kasperltheater | Museum Europäischer Kulturen | um 1921
obj-1616780 | Hieratischer Papyrus mit dem Totenbuch für die Sängerin des Amun Re Ta-remetsch-en-Bastet | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | Frühe Ptolemäerzeit (Ptolemäerzeit -> Griechisch–Römische Zeit -> Ägypten)
obj-1616781 | Hieratischer Papyrus mit dem Totenbuch für die Sängerin des Amun Re Ta-remetsch-en-Bastet | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | Frühe Ptolemäerzeit (Ptolemäerzeit -> Griechisch–Römische Zeit -> Ägypten)
obj-1616782 | Hieratischer Papyrus mit dem Totenbuch für die Sängerin des Amun Re Ta-remetsch-en-Bastet | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | Frühe Ptolemäerzeit (Ptolemäerzeit -> Griechisch–Römische Zeit -> Ägypten)
obj-2644471 | None | Teil einer Schlitztrommel | Ethnologisches Museum | –
obj-2644470 | None | Teil einer Schlitztrommel | Ethnologisches Museum | –
obj-2644469 | None | Teil einer Schlitztrommel | Ethnologisches Museum | –
obj-1880527 | Illustrirte Frauen-Zeitung: Reise-Anzüge, Sommer-Toilette, Anzug für kleine Mädchen | Druckgrafik (allgemein) | Kunstbibliothek | Publikation: 1894
obj-987806 | Ansicht der Stadt Kairo (LA VERA DESCRITIONE DE LA GRAN CITA DEL CAIERO) | Druck | Kupferstichkabinett | Herstellung: 1549
