obj-1586327 | Hieroglyphischer Papyrus mit dem Totenbuch der Rertet | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 30. Dynastie (Spätzeit -> Ägypten)
obj-606603 | Hieroglyphischer Papyrus mit dem Totenbuch der Ta-rudj, genannt Nainai | Rolle (Schriftträger) | Ägyptisches Museum und Papyrussammlung | 2. Jh. v. Chr. (Ptolemäerzeit -> Griechisch–Römische Zeit -> Ägypten) / Abweichende Datierung: Spätzeit (Ägypten)
obj-606746 | Hieratischer Papyrus mit Hymnen auf den Totengott Osiris (Papyrus Schmitt) | Rolle (Schriftträger) | Ägyptisches Museum und Papyrussammlung | Frühe Ptolemäerzeit
obj-823528 | Hieroglyphischer Papyrus mit dem Totenbuch der Herrin des Hauses Ta-Atum alias  (Platte A-D) | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 30. Dynastie (Spätzeit -> Ägypten)
obj-756608 | Mittlerer Sarg des Mentuhotep | Mensch (Grabausstattung / Sarg/Sarkophag) | Ägyptisches Museum und Papyrussammlung | Mittleres Reich / Datierung engl.: 2119 BCE to 1794 BCE, Middle Kingdom
obj-604287 | Anthropomorpher Sarg des Djed-Mut-iu-ef-anch, Wasserträger am Tempel des Amun | Mensch (Grabausstattung / Sarg/Sarkophag) | Ägyptisches Museum und Papyrussammlung | 22. Dynastie (Oberägyptisch)
obj-597790 | Pektoral des Königlichen Schreibers Neb-ua | Pektoral (Kleinkunst / Schmuck / Halsschmuck) | Ägyptisches Museum und Papyrussammlung | Historische Datierung: spätes Neues Reich–3. Zwischenzeit
obj-770846 | Kronprinz Thutmosis auf der Totenbahre (Bahrenuschebti) | Statuette (Rundbild) | Ägyptisches Museum und Papyrussammlung | Amenophis (Amenhotep) III. / Genauer: 1360 v. Chr. / Datierung engl.: Amenhotep III
obj-770583 | Mumienmaske der Ta-Scherit-en Hor | Mumienmaske (Grabausstattung / Mumienhülle) | Ägyptisches Museum und Papyrussammlung | Ptolemäerzeit / Datierung engl.: Ptolemaic Period
obj-780107 | Deckel des anthropomorphen Sargs des Chaa/Chai-Hor | Mensch (Grabausstattung / Sarg/Sarkophag) | Ägyptisches Museum und Papyrussammlung | Ptolemäerzeit
obj-1898751 | Anthropomorpher Sarg der Hat (Deckel) | Mensch (Grabausstattung / Sarg/Sarkophag) | Ägyptisches Museum und Papyrussammlung | Historische Datierung: Ptolemäerzeit
obj-779317 | Äußerer, anthropomorpher Sarg der Tairkap (Deckel) | Mensch (Grabausstattung / Sarg/Sarkophag) | Ägyptisches Museum und Papyrussammlung | 25.–26. Dynastie
obj-1898755 | Anthropomorpher Sarg des Chnum-sa-na-pah-su, Rindervorsteher des Min-Tempels - Typ "Yellow Coffin/Gelber Sarg" | Mensch (Grabausstattung / Sarg/Sarkophag) | Ägyptisches Museum und Papyrussammlung | 21. Dynastie
obj-1426953 | Demotischer Papyrus mit einem Auszug aus dem "Buch vom Atmen" für Pamonthis | Rolle (Schriftträger ) | Ägyptisches Museum und Papyrussammlung | 2. Jh. n. Chr. (Griechisch–Römische Zeit -> Ägypten)
obj-760191 | Pektoral des Pa-nehesi | Pektoral (Kleinkunst / Schmuck / Halsschmuck) | Ägyptisches Museum und Papyrussammlung | 20. Dynastie / Datierung engl.: 20th Dynasty
obj-607543 | Innerer Sarg des Pestjenfi, Priester des Amun in Karnak | Mensch (Grabausstattung / Sarg/Sarkophag) | Ägyptisches Museum und Papyrussammlung | 26. Dynastie / -841 - -730 / 25.-26. Dynastie
obj-762176 | Äußerer, kastenförmiger Sarg des Ken-Hor, Priester des Min  (Pfostensarg) | Mensch ( Sarg/Sarkophag  -> Grabausstattung ) | Ägyptisches Museum und Papyrussammlung | 25.–26. Dynastie / Datierung engl.: 746 BCE to 525 BCE, 25th – 26th Dynasty
obj-757404 | Pfostensarg der Schwestern Sensaos und Tkauthi | Mensch ( Sarg/Sarkophag  -> Grabausstattung ) | Ägyptisches Museum und Papyrussammlung | 2. Jh. n. Chr. (Griechisch–Römische Zeit -> Ägypten)
obj-763692 | Leichentuch einer Mädchenmumie ("Tochter der Aline"); aus dem Grab der Aline | Mumientuch (Grabausstattung) | Ägyptisches Museum und Papyrussammlung | 1.–2. Jh. n. Chr.
